X1;X2;X3;->;A;B;M;MAGNITUDE;V;<NA>
1;21:22:27;133452;R;NA;NA;NA;NA;NA;887;NA
2;21:22:32;138462;R;NA;NA;NA;NA;NA;887;NA
3;21:23:06;143470;R;NA;NA;NA;NA;NA;887;NA
4;21:23:06;148480;R;NA;NA;NA;NA;NA;887;NA
5;21:23:06;153488;R;NA;NA;NA;NA;NA;887;NA
6;21:23:06;158497;R;NA;NA;NA;NA;NA;886;NA
7;21:23:06;163507;R;NA;NA;NA;NA;NA;886;NA
8;21:23:06;168515;R;NA;NA;NA;NA;NA;886;NA
9;21:23:07;173524;R;NA;NA;NA;NA;NA;886;NA
10;21:24:25;178533;R;NA;NA;NA;NA;NA;886;NA
11;21:24:25;183542;R;NA;NA;NA;NA;NA;886;NA
12;21:24:25;188551;R;NA;NA;NA;NA;NA;886;NA
13;21:24:25;193560;R;NA;NA;NA;NA;NA;886;NA
14;21:24:25;198569;R;NA;NA;NA;NA;NA;885;NA
15;21:24:25;203578;R;NA;NA;NA;NA;NA;885;NA
16;21:24:25;208587;R;NA;NA;NA;NA;NA;886;NA
17;21:24:25;213596;R;NA;NA;NA;NA;NA;885;NA
18;21:24:25;218605;R;NA;NA;NA;NA;NA;885;NA
19;21:24:25;223613;R;NA;NA;NA;NA;NA;885;NA
20;21:24:25;228613;R;NA;NA;NA;NA;NA;885;NA
21;21:24:25;233622;R;NA;NA;NA;NA;NA;885;NA
22;21:24:25;238630;R;NA;NA;NA;NA;NA;885;NA
23;21:24:25;243630;R;NA;NA;NA;NA;NA;885;NA
24;21:24:25;248639;R;NA;NA;NA;NA;NA;885;NA
25;21:24:27;253647;R;NA;NA;NA;NA;NA;884;NA
26;21:27:06;258647;R;NA;NA;NA;NA;NA;885;NA
27;21:27:06;263656;R;NA;NA;NA;NA;NA;884;NA
28;21:27:06;268664;R;NA;NA;NA;NA;NA;884;NA
29;21:27:06;273664;R;NA;NA;NA;NA;NA;884;NA
30;21:27:06;278673;R;NA;NA;NA;NA;NA;884;NA
31;21:27:06;283681;R;NA;NA;NA;NA;NA;884;NA
32;21:27:06;288691;R;NA;NA;NA;NA;NA;884;NA
33;21:27:06;293699;R;NA;NA;NA;NA;NA;884;NA
34;21:27:06;298708;R;NA;NA;NA;NA;NA;884;NA
35;21:27:06;303708;R;NA;NA;NA;NA;NA;884;NA
36;21:27:06;308716;R;NA;NA;NA;NA;NA;884;NA
37;21:27:06;313725;R;NA;NA;NA;NA;NA;884;NA
38;21:27:06;318725;R;NA;NA;NA;NA;NA;884;NA
39;21:27:06;323734;R;NA;NA;NA;NA;NA;884;NA
40;21:27:06;328742;R;NA;NA;NA;NA;NA;883;NA
41;21:27:06;333742;R;NA;NA;NA;NA;NA;883;NA
42;21:27:06;338751;R;NA;NA;NA;NA;NA;884;NA
43;21:27:06;343759;R;NA;NA;NA;NA;NA;883;NA
44;21:27:06;348759;R;NA;NA;NA;NA;NA;883;NA
45;21:27:06;353768;R;NA;NA;NA;NA;NA;883;NA
46;21:27:06;358776;R;NA;NA;NA;NA;NA;884;NA
47;21:27:06;363776;R;NA;NA;NA;NA;NA;883;NA
48;21:27:06;368785;R;NA;NA;NA;NA;NA;883;NA
49;21:27:06;373793;R;NA;NA;NA;NA;NA;883;NA
50;21:27:06;378803;R;NA;NA;NA;NA;NA;883;NA
51;21:27:06;383812;R;NA;NA;NA;NA;NA;883;NA
52;21:27:06;388820;R;NA;NA;NA;NA;NA;883;NA
53;21:27:06;393820;R;NA;NA;NA;NA;NA;883;NA
54;21:27:06;398829;R;NA;NA;NA;NA;NA;883;NA
55;21:27:06;403837;R;NA;NA;NA;NA;NA;883;NA
56;21:27:06;408837;R;NA;NA;NA;NA;NA;883;NA
57;21:27:07;413846;R;NA;NA;NA;NA;NA;883;NA
58;21:27:13;418854;R;NA;NA;NA;NA;NA;883;NA
59;21:27:17;423854;R;NA;NA;NA;NA;NA;883;NA
60;21:27:22;428863;R;NA;NA;NA;NA;NA;883;NA
61;21:27:27;433871;R;NA;NA;NA;NA;NA;883;NA
62;21:27:32;438871;R;NA;NA;NA;NA;NA;883;NA
63;21:27:37;443880;R;NA;NA;NA;NA;NA;883;NA
64;21:27:42;448888;R;NA;NA;NA;NA;NA;882;NA
65;21:27:47;453888;R;NA;NA;NA;NA;NA;882;NA
66;21:27:52;458897;R;NA;NA;NA;NA;NA;882;NA
67;21:27:57;463906;R;NA;NA;NA;NA;NA;882;NA
68;21:28:02;468915;R;NA;NA;NA;NA;NA;882;NA
69;21:28:07;473924;R;NA;NA;NA;NA;NA;882;NA
70;21:28:12;478932;R;NA;NA;NA;NA;NA;882;NA
71;21:28:17;483932;R;NA;NA;NA;NA;NA;882;NA
72;21:28:22;488941;R;NA;NA;NA;NA;NA;882;NA
73;21:28:27;493949;R;NA;NA;NA;NA;NA;882;NA
74;21:28:32;498949;R;NA;NA;NA;NA;NA;882;NA
75;21:28:37;503958;R;NA;NA;NA;NA;NA;882;NA
76;21:28:42;508966;R;NA;NA;NA;NA;NA;882;NA
77;21:28:47;513966;R;NA;NA;NA;NA;NA;885;NA
78;21:28:52;518975;R;NA;NA;NA;NA;NA;882;NA
79;21:28:57;523983;R;NA;NA;NA;NA;NA;881;NA
80;21:29:02;528983;R;NA;NA;NA;NA;NA;881;NA
81;21:29:07;533992;R;NA;NA;NA;NA;NA;882;NA
82;21:29:12;539000;R;NA;NA;NA;NA;NA;881;NA
83;21:29:17;544000;R;NA;NA;NA;NA;NA;881;NA
84;21:29:17;S0;NA;NA;NA;NA;NA;NA;NA;NA
85;21:29:22;549009;R;NA;NA;NA;NA;NA;881;NA
86;21:29:27;554018;R;NA;NA;NA;NA;NA;881;NA
87;21:29:32;559027;R;NA;NA;NA;NA;NA;882;NA
88;21:29:37;564036;R;NA;NA;NA;NA;NA;881;NA
89;21:29:42;569044;R;NA;NA;NA;NA;NA;881;NA
90;21:29:47;574044;R;NA;NA;NA;NA;NA;881;NA
91;21:29:54;579053;R;NA;NA;NA;NA;NA;881;NA
92;21:30:02;584061;R;NA;NA;NA;NA;NA;881;NA
93;21:30:02;589061;R;NA;NA;NA;NA;NA;881;NA
94;21:30:02;S0;NA;NA;NA;NA;NA;NA;NA;NA
95;21:30:05;S0;NA;NA;NA;NA;NA;NA;NA;NA
96;21:30:07;594070;R;NA;NA;NA;NA;NA;884;NA
97;21:30:12;599079;R;NA;NA;NA;NA;NA;881;NA
98;21:30:17;604088;R;NA;NA;NA;NA;NA;881;NA
99;21:30:22;609097;R;NA;NA;NA;NA;NA;881;NA
100;21:30:29;614107;R;NA;NA;NA;NA;NA;881;NA
101;21:30:34;619115;R;NA;NA;NA;NA;NA;881;NA
102;21:30:37;624124;R;NA;NA;NA;NA;NA;881;NA
103;21:30:42;629133;R;NA;NA;NA;NA;NA;881;NA
104;21:30:47;634142;R;NA;NA;NA;NA;NA;881;NA
105;21:30:52;639152:;S0;S1;NA;NA;NA;NA;NA;NA
106;21:30:52;639575;R;NA;NA;NA;NA;NA;880;NA
107;21:30:52;639648;R;NA;NA;NA;0.25;NA;NA;NA
108;21:30:53;640167;R;NA;NA;NA;0.18;NA;NA;NA
109;21:30:54;640699;R;NA;NA;NA;0.17;NA;NA;NA
110;21:30:54;641230;R;NA;NA;NA;0.16;NA;NA;NA
111;21:30:55;641762;R;NA;NA;NA;0.26;NA;NA;NA
112;21:30:55;642293;R;NA;NA;NA;0.29;NA;NA;NA
113;21:30:56;642824;R;NA;NA;NA;0.22;NA;NA;NA
114;21:30:56;643355;R;NA;NA;NA;0.23;NA;NA;NA
